"Parameter Name","Type (in)","Data Type","Required","Default","Description","Usage Count","Categories Used","Endpoints Used"
"timeframe","query","string","No","12 weeks","Time period for adherence analysis | Time period for comprehensive analysis | Time period for AI analysis | Time period for pattern analysis | Time period for analytics data | Time period for strength analysis | Time period for trend analysis | Filter goals by timeframe","8","analytics, goals","GET analytics_adherence; GET analytics_ai_comprehensive; GET analytics_ai_insights; GET analytics_ai_patterns; GET analytics_overview; GET analytics_strength; GET analytics_trends; GET goals"
"category","query","string","No","None","Specific adherence category to analyze","1","analytics","GET analytics_adherence"
"includeStreaks","query","boolean","No","true","Include consistency streak analysis","1","analytics","GET analytics_adherence"
"includePatterns","query","boolean","No","true","Include weekly and daily adherence patterns","1","analytics","GET analytics_adherence"
"granularity","query","string","No","weekly","Detail level for adherence breakdown | Data granularity for progress tracking","2","analytics, goals","GET analytics_adherence; GET goals_goalId_progress"
"reportDepth","query","string","No","detailed","Depth and detail level of the comprehensive report","1","analytics","GET analytics_ai_comprehensive"
"focusAreas","query","string","No","None","Primary focus areas for analysis (comma-separated) | Specific areas for AI analysis (comma-separated)","2","analytics","GET analytics_ai_comprehensive; GET analytics_ai_insights"
"includeComparisons","query","boolean","No","None","Include peer comparisons and benchmarking | Include comparison with similar goals","2","analytics, goals","GET analytics_ai_comprehensive; GET goals_goalId_progress"
"includePredictions","query","boolean","No","true","Include future performance and goal predictions | Include AI-powered achievement predictions","2","analytics, goals","GET analytics_ai_comprehensive; GET goals_goalId_progress"
"maxRecommendations","query","integer","No","25","Maximum number of recommendations to include | Maximum number of recommendations to generate","2","analytics","GET analytics_ai_comprehensive; GET analytics_ai_recommendations"
"includeActionPlan","query","boolean","No","true","Include structured action plan with timelines","1","analytics","GET analytics_ai_comprehensive"
"reportFormat","query","string","No","hybrid","Format style for the comprehensive report","1","analytics","GET analytics_ai_comprehensive"
"insightDepth","query","string","No","detailed","Depth of AI analysis and insights","1","analytics","GET analytics_ai_insights"
"includeRecommendations","query","boolean","No","true","Include actionable recommendations in insights | Include optimization recommendations","2","analytics, goals","GET analytics_ai_insights; GET goals_goalId_progress"
"maxInsights","query","integer","No","10","Maximum number of insights to generate","1","analytics","GET analytics_ai_insights"
"patternTypes","query","string","No","None","Specific pattern types to analyze (comma-separated)","1","analytics","GET analytics_ai_patterns"
"minConfidence","query","number","No","0.7","Minimum confidence threshold for pattern recognition","1","analytics","GET analytics_ai_patterns"
"includeCorrelations","query","boolean","No","true","Include correlation analysis between different metrics","1","analytics","GET analytics_ai_patterns"
"analysisDepth","query","string","No","detailed","Depth of pattern analysis | Depth of predictive analysis | Level of analysis detail","3","analytics","GET analytics_ai_patterns; GET analytics_ai_predictions_goalType; GET analytics_strength"
"maxPatterns","query","integer","No","20","Maximum number of patterns to identify","1","analytics","GET analytics_ai_patterns"
"goalType","path","string","Yes","None","Type of goal for prediction analysis","1","analytics","GET analytics_ai_predictions_goalType"
"targetValue","query","number","No","None","Target value for the goal (optional for existing goals)","1","analytics","GET analytics_ai_predictions_goalType"
"targetTimeframe","query","string","No","None","Desired timeframe for goal achievement","1","analytics","GET analytics_ai_predictions_goalType"
"confidenceLevel","query","number","No","0.7","Minimum confidence level for predictions","1","analytics","GET analytics_ai_predictions_goalType"
"includeScenarios","query","boolean","No","true","Include best/worst case scenario predictions","1","analytics","GET analytics_ai_predictions_goalType"
"includeMilestones","query","boolean","No","true","Include milestone prediction timeline | Include milestone tracking data | Include milestone overview | Include detailed milestone tracking | Include milestone data (may increase payload)","5","analytics, goals, mobile","GET analytics_ai_predictions_goalType; GET goals; GET goals_goalId; GET goals_goalId_progress; GET mobile_goals_goalId_progress"
"categories","query","string","No","None","Specific recommendation categories (comma-separated)","1","analytics","GET analytics_ai_recommendations"
"priorityLevel","query","string","No","all","Priority level for recommendations","1","analytics","GET analytics_ai_recommendations"
"timeHorizon","query","string","No","short_term","Time horizon for recommendation implementation","1","analytics","GET analytics_ai_recommendations"
"includeExplanations","query","boolean","No","true","Include detailed explanations for each recommendation","1","analytics","GET analytics_ai_recommendations"
"difficultyLevel","query","string","No","all","Filter recommendations by implementation difficulty","1","analytics","GET analytics_ai_recommendations"
"focusArea","query","string","No","None","Primary focus area for recommendations","1","analytics","GET analytics_ai_recommendations"
"startDate","query","string","Yes","None","Start date for analytics range (YYYY-MM-DD) | Filter plans created on or after this date | Filter meal logs from this date onwards (YYYY-MM-DD) | Filter logs from this date onwards (inclusive)","4","analytics, nutritionMacros, workoutLogs","GET analytics_daterange; GET macros; GET nutrition_meal-log; GET workouts_log"
"endDate","query","string","Yes","None","End date for analytics range (YYYY-MM-DD) | Filter plans created on or before this date | Filter meal logs up to this date (YYYY-MM-DD) | Filter logs up to this date (inclusive)","4","analytics, nutritionMacros, workoutLogs","GET analytics_daterange; GET macros; GET nutrition_meal-log; GET workouts_log"
"groupBy","query","string","No","week","Group data by time period | Group trend data by time period","3","analytics","GET analytics_daterange; GET analytics_overview; GET analytics_trends"
"metrics","query","string","No","None","Specific metrics to include (comma-separated) | Specific metrics for trend analysis (comma-separated)","3","analytics","GET analytics_daterange; GET analytics_overview; GET analytics_trends"
"includeComparison","query","boolean","No","None","Include comparison with previous equivalent period","1","analytics","GET analytics_daterange"
"aggregationType","query","string","No","average","Type of data aggregation to apply","1","analytics","GET analytics_daterange"
"includeEvents","query","boolean","No","None","Include life events and their impact on metrics","1","analytics","GET analytics_daterange"
"includeAI","query","boolean","No","None","Include AI-generated insights in the overview","1","analytics","GET analytics_overview"
"exerciseType","query","string","No","None","Filter by specific exercise type or movement pattern","1","analytics","GET analytics_strength"
"includeVolume","query","boolean","No","true","Include volume progression analysis","1","analytics","GET analytics_strength"
"includeOneRepMax","query","boolean","No","true","Include estimated 1RM calculations and progressions","1","analytics","GET analytics_strength"
"includeStatistics","query","boolean","No","true","Include statistical analysis (correlations, R-squared values)","1","analytics","GET analytics_trends"
"smoothing","query","boolean","No","None","Apply trend smoothing for cleaner visualization","1","analytics","GET analytics_trends"
"status","query","string","No","active","Filter goals by status | Filter by plan status","3","goals, nutritionMacros, workouts","GET goals; GET macros; GET workouts"
"type","query","string","No","None","Filter goals by type","1","goals","GET goals"
"priority","query","string","No","None","Filter goals by priority level","1","goals","GET goals"
"progressStatus","query","string","No","None","Filter goals by progress status","1","goals","GET goals"
"sortBy","query","string","No","created_at","Field to sort results by","3","goals, nutritionMacros, workouts","GET goals; GET macros; GET workouts"
"sortOrder","query","string","No","desc","Sort order direction | Sort order","3","goals, nutritionMacros, workouts","GET goals; GET macros; GET workouts"
"includeProgress","query","boolean","No","true","Include detailed progress calculations | Include current progress summary","2","goals","GET goals; GET goals_goalId"
"includeAnalytics","query","boolean","No","None","Include analytics and insights | Include notification analytics and engagement metrics | Include calculated analytics and trends","4","goals, mobile, progress","GET goals; GET goals_goalId; GET mobile_notifications_preferences; GET progress_check-ins_checkInId"
"goalId","path","string","Yes","None","Unique identifier for the goal","5","goals, mobile","GET goals_goalId; PUT goals_goalId; POST goals_goalId_predict; GET goals_goalId_progress; GET mobile_goals_goalId_progress"
"includeHistory","query","boolean","No","None","Include goal modification history","1","goals","GET goals_goalId"
"validateChanges","query","boolean","No","None","Validate changes without applying them","1","goals","PUT goals_goalId"
"recalculateMilestones","query","boolean","No","true","Automatically recalculate milestones after update","1","goals","PUT goals_goalId"
"preserveProgress","query","boolean","No","true","Preserve existing progress data","1","goals","PUT goals_goalId"
"timeRange","query","string","No","month","Time range for progress analysis | Time range for analytics data | Time range for mobile analytics (optimized options) | Time range for comparison data","4","goals, mobile","GET goals_goalId_progress; GET mobile_analytics; GET mobile_overview; GET mobile_peer-comparison"
"includeTrends","query","boolean","No","true","Include trend analysis and patterns","1","goals","GET goals_goalId_progress"
"includeWellnessCorrelation","query","boolean","No","None","Include wellness metric correlation analysis","1","goals","GET goals_goalId_progress"
"format","query","string","No","detailed","Response format for progress data | Response format preference | Response format for data presentation","3","goals, mobile, progress","GET goals_goalId_progress; GET mobile_analytics; GET progress_check-ins_checkInId"
"analyticsType","query","string","No","overview","Type of analytics to retrieve","1","mobile","GET mobile_analytics"
"compressionLevel","query","string","No","adaptive","Data compression level for mobile optimization | Data compression level preference","4","mobile","GET mobile_analytics; GET mobile_goals_goalId_progress; GET mobile_overview; GET mobile_peer-comparison"
"connectionType","query","string","No","unknown","Client connection type for optimization","4","mobile","GET mobile_analytics; GET mobile_goals_goalId_progress; GET mobile_overview; GET mobile_peer-comparison"
"deviceCapabilities","query","string","No","standard","Device capabilities for content adaptation","1","mobile","GET mobile_analytics"
"appVersion","query","string","No","None","Mobile app version for compatibility | App version for compatibility settings","2","mobile","GET mobile_analytics; GET mobile_notifications_preferences"
"legacySupport","query","boolean","No","None","Enable legacy compatibility mode","1","mobile","GET mobile_analytics"
"includeCharts","query","boolean","No","true","Include chart data for visualization | Include chart data (increases payload size)","2","mobile","GET mobile_analytics; GET mobile_overview"
"chartResolution","query","string","No","adaptive","Chart data resolution for mobile display","2","mobile","GET mobile_analytics; GET mobile_goals_goalId_progress"
"priorityMetrics","query","string","No","None","Priority metrics for limited display (comma-separated) | Prioritized metrics for limited display (comma-separated)","2","mobile","GET mobile_analytics; GET mobile_overview"
"maxDataPoints","query","integer","No","100","Maximum number of data points to include","1","mobile","GET mobile_analytics"
"cacheStrategy","query","string","No","balanced","Caching strategy preference","1","mobile","GET mobile_analytics"
"batteryOptimization","query","boolean","No","None","Enable battery optimization features","1","mobile","GET mobile_analytics"
"offlineMode","query","boolean","No","None","Prepare data for offline availability","1","mobile","GET mobile_analytics"
"customization","query","string","No","None","Custom configuration JSON string","1","mobile","GET mobile_analytics"
"displayMode","query","string","No","standard","Mobile display mode optimization","2","mobile","GET mobile_goals_goalId_progress; GET mobile_peer-comparison"
"screenSize","query","string","No","medium","Screen size category for layout optimization","1","mobile","GET mobile_goals_goalId_progress"
"includeChart","query","boolean","No","true","Include chart data for progress visualization","1","mobile","GET mobile_goals_goalId_progress"
"milestoneLimit","query","integer","No","5","Maximum number of milestones to include","1","mobile","GET mobile_goals_goalId_progress"
"timeWindow","query","string","No","month","Time window for progress data","1","mobile","GET mobile_goals_goalId_progress"
"offlineReady","query","boolean","No","None","Prepare data for offline availability","2","mobile","GET mobile_goals_goalId_progress; GET mobile_overview"
"batteryOptimized","query","boolean","No","None","Enable battery optimization features","2","mobile","GET mobile_goals_goalId_progress; GET mobile_overview"
"includeSystemSettings","query","boolean","No","true","Include system-level notification settings","1","mobile","GET mobile_notifications_preferences"
"includePlatformSpecific","query","boolean","No","true","Include platform-specific settings (iOS/Android)","1","mobile","GET mobile_notifications_preferences"
"includeDeliveryStatus","query","boolean","No","None","Include notification delivery status and history","1","mobile","GET mobile_notifications_preferences"
"devicePlatform","query","string","No","unknown","Device platform for platform-specific settings","1","mobile","GET mobile_notifications_preferences"
"osVersion","query","string","No","None","Operating system version for capability detection","1","mobile","GET mobile_notifications_preferences"
"timeZone","query","string","No","None","User's time zone for scheduling preferences","1","mobile","GET mobile_notifications_preferences"
"validationMode","query","string","No","basic","Validation mode for push token and permissions","1","mobile","GET mobile_notifications_preferences"
"includePermissions","query","boolean","No","true","Include device permission status","1","mobile","GET mobile_notifications_preferences"
"optimizationLevel","query","string","No","balanced","Battery and performance optimization level","1","mobile","GET mobile_notifications_preferences"
"detailLevel","query","string","No","standard","Level of detail for mobile display","1","mobile","GET mobile_overview"
"cachePreference","query","string","No","balanced","Cache preference for data freshness vs speed","1","mobile","GET mobile_overview"
"deviceType","query","string","No","phone","Device type for optimization","1","mobile","GET mobile_overview"
"comparisonType","query","string","No","overall_fitness","Type of peer comparison to retrieve","1","mobile","GET mobile_peer-comparison"
"peerGroupType","query","string","No","similar_level","Peer group selection criteria","1","mobile","GET mobile_peer-comparison"
"privacyLevel","query","string","No","anonymous_only","Privacy level for comparison data","1","mobile","GET mobile_peer-comparison"
"includeRankings","query","boolean","No","true","Include ranking and leaderboard data","1","mobile","GET mobile_peer-comparison"
"includeBenchmarks","query","boolean","No","true","Include performance benchmarks","1","mobile","GET mobile_peer-comparison"
"includeMotivation","query","boolean","No","true","Include motivational insights and encouragement","1","mobile","GET mobile_peer-comparison"
"maxPeers","query","integer","No","20","Maximum number of peer comparisons to include","1","mobile","GET mobile_peer-comparison"
"socialOptOut","query","boolean","No","None","Opt out of all social comparison features","1","mobile","GET mobile_peer-comparison"
"anonymizeAll","query","boolean","No","true","Force complete anonymization of all data","1","mobile","GET mobile_peer-comparison"
"page","query","integer","No","1","Page number for pagination","2","nutritionMacros","GET macros; GET nutrition_meal-log"
"pageSize","query","integer","No","10","Number of items per page","2","nutritionMacros","GET macros; GET nutrition_meal-log"
"goalType","query","string","No","None","Filter by goal type","1","nutritionMacros","GET macros"
"planId","path","string","Yes","None","ID of the macro plan to update | Unique workout plan identifier","4","nutritionMacros, workouts","PUT macros_planId; GET workouts_planId; POST workouts_planId; DELETE workouts_planId"
"date","query","string","No","None","Filter meal logs by specific date (YYYY-MM-DD)","1","nutritionMacros","GET nutrition_meal-log"
"userId","path","string","Yes","None","ID of the user whose nutrition plan to retrieve","1","nutritionMacros","GET nutrition_userId"
"checkInId","path","string","Yes","None","Unique identifier for the check-in record","1","progress","GET progress_check-ins_checkInId"
"includeContext","query","boolean","No","true","Include contextual data from surrounding check-ins","1","progress","GET progress_check-ins_checkInId"
"includePrevious","query","boolean","No","true","Include comparison with previous check-in","1","progress","GET progress_check-ins_checkInId"
